,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-40725,,,,,,,,,,,,,,,,,,,,,,,,
21-1640,Régie des Transports Métropolitains,None,,,FRL04,79 boulevard de Dunkerque,13002,Marseille,,,,,marchespublics@rtm.fr,http://www.achatpublic.com,https://www.achatpublic.com,,,,,False,True,,False,True
21-38525,Crous de l'académie de Créteil,None,M. Achats Division,,,70 avenue du Général de Gaulle,94010,Creteil,,01-45-17-24-58,,,achat@crous-creteil.fr,http://www.crous-creteil.fr/,,,,,,False,False,,False,False
21-3224,IN'LI GRAND EST,None,,,FRF,44B Rue de la Course - CS70027,67084,Strasbourg cedex,,,,,olivier.gaillot@inli.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_tC1Yss7maU,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_tC1Yss7maU,,False,True,,False,True
21-4313,Ville de Longpont-sur-Orge,None,Mme Sciaux Catherine,,,Place des Combattants,91310,Longpont sur orge,,01-64-49-67-38,,,c.sciaux@mairie-longpont91.fr,,https://achat-national.safetender.com,,,,,False,False,,False,False
21-5915,Commune de Saint-Laurent du Maroni,None,,,FRY3,5 avenue du Lieutenant-Colonel Chandon,97320,SAINT LAURENT DU MARONI,,,,,h.guilavogui@saintlaurentdumaroni.fr,http://www.saintlaurentdumaroni.fr/,http://saintlaurentdumaroni.e-marchespublics.com,,,,,False,True,,False,True
21-41615,,,,,,,,,,,,,,,,,,,,,,,,
21-16193,CC Océan Marais de Monts,None, Madame La Présidente,,,46 place de la PaixBP 721,85167,Saint Jean de Monts,,(+33) 2-51-58-07-89,,,commande.publique@omdm.fr,http://www.cc.oceanmaraisdemonts.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
21-20872,CC DE LA HAUTE ARIEGE,None, NAUDY Alain,,,13 Route Nationale 20,09250,LUZENAC,,,,,,,http://www.cc-hauteariege.marches-publics.info/,,,,,False,False,,False,False
21-28697,REGIE EAU D'AZUR,None,,"Service Achats, Marchés Publics",FRL03,Crystal Palace369 / 371 Promenade des Anglais - CS 53135,06203,Nice Cedex 3,,(+33) 4-89-98-14-87,,,marchespublics@eaudazur.com,http://eaudazur.com,https://www.marches-securises.fr,,,,,False,False,,False,False
21-37873,COMMUNE DE SAINT HILAIRE DU HARCOUET,20005820400013,,,FR,Hôtel de ville - Avenue du Maréchal Leclerc,50600,Saint Hilaire du Harcouët,,(+33) 2-33-79-38-70,,(+33) 2-33-79-38-71,dgs@st-hilaire.fr,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com/7057671,https://demat.centraledesmarches.com/7057671,https://demat.centraledesmarches.com/7057671,,False,True,,False,True
20-154575,Ville de Saverne,None,,,FR,,None,Saverne,,,,,g.dorsi@mairie-saverne.fr,https://www.saverne.fr/,,,,,,False,True,,False,True
21-11396,Ville de Raismes,None,,,FR,,59590,RAISMES,,(+33) 3-27-14-94-14,,,commandepublque@ville-raismes.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_Bp6zOxKPhc,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_Bp6zOxKPhc,,,,,False,True,,False,True
21-5778,Tours Métropole Val de Loire,None,,,FRB04,"60, Avenue Marcel Dassault CS 30651",37206,TOURS CEDEX 3,,,,,commandepublique@tours-metropole.fr,https://www.achatpublic.com/sdm/ent/index.do,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,https://tours-metropole.achatpublic.com/sdm/ent/gen/index.do,,,,False,True,,False,True
20-159133,Commune de Douai,None,,,FRE11,Hôtel de Ville C.S. 80836,59508,Douai,,,,,cvandomme@ville-douai.fr,http://www.ville-douai.fr,https://marchespublics596280.fr/?page=frame.ConsultationsOrganisme&amp;org=3C029,,,,,True,False,,False,True
21-10622,SPL Plaine Commune Développement,None,,,FR106,17-19 avenue de la Métallurgie,93210,Saint-Denis la Plaine,,,,,fserrat@semplaine.fr,http://www.semplaine.fr,,,,,,False,True,,False,True
21-13129,Ville de Bourg-en-Bresse,None,,,FRK21,Hôtel de Ville  BP 90419,01000,Bourg-en-Bresse,,(+33) 4-74-45-72-48,,,dematmp@bourgenbresse.fr,http://www.bourgenbresse.fr,https://marchespublics.ain.fr,,,,,False,True,,False,True
21-7542,CCI de Martinique,None,,Direction des ressources humaines affaires -Administrative et Financière et Systèmes d'Informations - Service de la Commande Publique,FRY20,50 rue Ernest Deproge,97200,Fort-de-France,MQ,(+33) -05-96-55-28-60,,(+33) -05-96-55-28-32,marches@martinique.cci.fr,http://www.martinique.cci.fr,,,,,,False,True,,False,True
21-26983,CTRE COM ACTION SOC VILLEFRANCHE MER,26060065500013,,Véronique POITOU,FRL03,64 avenue Georges Clémenceau,06230,Villefranche sur Mer,,(+33) 4-93-01-83-32,,,accueil@ccas-villefranchesurmer.fr,https://ccas-villefranchesurmer.fr,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
21-28641,SETEC ORGANISATION PR BORDEAUX METROPO,None,M. GAILLAT Etienne,,,42-44 rue Général de Larminat,33000,Bordeaux,,05-24-54-55-40,,,bordeaux@orga.setec.fr,,https://marchesonline.achatpublic.com/sdm/ent/gen/ent_recherche.do,,,,,False,False,,False,False
21-42028,,,,,,,,,,,,,,,,,,,,,,,,
21-9756,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,None,,Direction de la Commande Publique - M Stéphane Castro,FRK24,5 RUE D'ARSONVAL CS 70187,38019,Grenoble,,(+33) 4-76-57-44-20,,,marches.crous38@crous-grenoble.fr,http://www.crous-grenoble.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
21-873,Ville de Wingles,21620895900017,,,FR,26 Rue Jules Guesde,62410,WINGLES,,(+33) 3-21-08-69-00,,(+33) 3-21-08-69-01,marches.publics@wingles.fr,http://www.wingles.fr,https://www.marchespublics.pro:443/1564,http://www.marchespublics.pro,http://www.marchespublics.pro,,,True,False,,False,True
21-9428,Ville de Gray,21700279900153,,Pôle Juridique,FRC23,1 place Charles de Gaulle,70100,Gray,,(+33) 3-84-65-11-14,,,julie.jubin@ville-gray.fr,http://www.gray.fr,http://www.ternum-bfc.fr,,,,,True,False,,False,True
21-13270,SIVOM SOLOGNE BOURBONNAISE,24030020200019,,,FRK11,"12 rue Jean de Lingendres, Bp 5",03290,Dompierre-Sur-Besbre,,(+33) 4-70-48-10-90,,,f.fleret@sivom-sologne.com,http://www.sivomsolognebourbonnaise.fr/,http://www.marches-publics.allier.fr,,,,,False,True,,False,True
21-19219,CDG29,28290045500019,,Madame Janig LEES,FR,7 boulevard du Finistère,29000,quimper,,,,,jlees@cdg29.bzh,http://www.cdg29.bzh,https://marches.megalis.bretagne.bzh,,,https://marches.megalis.bretagne.bzh,,False,True,,False,True
21-4839,Sirtom de la Région Flers-Condé,25610213800029,,Marchés publics,FR,"ÉCOpôle du Bocage - 14, rue Guillaume le Conquérant",61440,Messei,,(+33) 2-33-62-21-00,,(+33) 2-33-62-21-01,marchespublics@sirtom-flers-conde.fr,https://www.sirtom-flers-conde.fr/,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com/7054743,https://demat.centraledesmarches.com/7054743,,,False,True,,False,True
21-30787,COMMUNE DE CAPVERN,None," LARAN Jean, Maire",,,"1, place Aragon, 1, place Aragon",65130,Capvern,,05-62-40-95-95,,05-62-40-95-99,cecile-dupe@orange.fr,http://mairiecapvern.com,http://www.marches-publics.info/accueil.htm,,,,,False,False,,False,False
21-16405,Communauté agglo Bar le Duc Sud Meuse,None,,,FRF32,"12, rue Lapique BP 60559",55012,BAR LE DUC CEDEX,,(+33) 3-29-79-56-31,,(+33) 3-72-62-00-19,marchespublics@barleduc.fr,http://www.klekoon.com,http://www.klekoon.com,https://www.klekoon.com/detail-consultation/80362/1,https://www.klekoon.com/detail-consultation/80362/1,,,False,True,,False,True
21-9521,PREFECTURE AQUITAINE-SGAR-MRA,None,,,FRI,4 b esplanade Charles de Gaulle,33000,Bordeaux,,(+33) 5-56-90-65-23,,,pfra@nouvelle-aquitaine.gouv.fr,https://www/marches-publics.gouv.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=695037&orgAcronyme=g6l,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=695037&orgAcronyme=g6l,,False,True,,False,True
21-2397,C.A. Ventoux Comtat Venaissin (CoVe),None,,,FRL06,1171 Avenue du Mont Ventoux CS 30085,84203,Carpentras,,,,,commande-publique@lacove.fr,http://www.lacove.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-1531,MAIRIE DE SAINT-VALLIER,None,,,FR,8 RUE GAMBETTA,71230,SAINT-VALLIER,,(+33) 3-85-67-91-50,,(+33) 3-85-67-91-60,saintvallier71@mairie-saintvallier.fr,http://www.mairie-saintvallier.fr,http://www.ternum-bfc.fr,,,,,False,True,,False,True
21-13924,CNOSF,None,,,FR101,1 avenue Pierre de Coubertin,75013,PARIS,,(+33) 1-40-78-28-13,,,marielemoine@cnosf.org,http://www.franceolympique.com/,http://cnosf.e-marchespublics.com,,,,,False,True,,False,True
21-6488,Commune de Bonifacio,None,,Service des marchés publics,FRM01,Place de l'Europe,20169,Bonifacio,,(+33) 4-95-73-55-71,,(+33) 4-95-73-01-96,emmanuel.rossi@mairiedebonifacio.com,https://www.bonifacio-mairie.fr/,https://bonifacio.e-marchespublics.com,,,,,True,False,,False,True
21-5619,Commune de Kembs,None,,,FR,,None,Kembs,,,,,commandepublique@kembs.alsace,http://www.kembs.alsace,http://www.marchespublics-amhr.safetender.com,,,,,False,True,,False,True
21-7505,COMMUNE DE VIGNEUX SUR SEINE,None,,,FR,,None,vigneux sur seine,,,,,mp@vigneux91.fr,http://www.mairie-vigneux-sur-seine.fr,http://www.achatpublic,,,,,True,False,,False,True
21-7977,OFFICE FRANCAIS DE LA BIODIVERSITE,None,,,FR,12 Cours Louis Lumière,94300,Vincennes,,,,,marches.publics@ofb.gouv.fr,https://ofb.gouv.fr/,,,,,,False,True,,False,True
21-653,SIEAM,None, Le Président FAHARDINE Ahamada,,,BP 289 - ZI Kawéni,97600,Mamoudzou,,(+33) 2-69-62-11-11,,,babadi.mohamed.ahmed@sieam.fr,,https://www.marches-securises.fr,,,,,False,False,,False,False
20-158765,SDIS de la Meuse,None,,,FRF32,9 rue Hinot cs 70615,55000,Bar-le-duc,,(+33) 3-29-77-57-34,,,juridique-marches@sdis55.fr,http://www.sdis55.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_3K3NFD2mSy,,,,,False,True,,False,True
21-9534,Dijon Métropole,24210041000123,,,FRC11,"40 Avenue du Drapeau , Cs 17510",21075,Dijon,,,,,correspondre@aws-france.com,https://www.metropole-dijon.fr,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,False,True,,False,True
21-18337,COMMUNE DE OSNY,None,,,FR108,Hôtel de Ville - Château de Grouchy - 14 rue William Thornley - BP 90014,95520,Osny,,(+33) 1-34-25-42-45,,,s.volatier@ville-osny.fr,https://osny.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-19930,PUBLIC LABOS,None," ESPOSITO Emmanuel, Directeur Général",,,Avenue de l'Europe,46000,CAHORS,,05-65-53-45-01,,,emmanuel.esposito@lot.fr,http://www.public-labos.fr,,,,,,False,False,,False,False
21-24950,ComCom des Vallées du Haut-Anjou,20007186800158,,,FRG02,Place Charles de Gaulle,49220,Le Lion d'Angers,,,,,correspondre@aws-france.fr,https://www.valleesduhautanjou.fr,https://agysoft.marches-publics.info,,,,,False,True,,False,True
21-32127,Commune de Chaponost,21690043100018,,,FRK26,5 avenue Maréchal Joffre,69630,Chaponost,,(+33) 4-78-45-31-33,,(+33) 4-78-45-37-45,correspondre@aws-france.com,http://www.mairie-chaponost.fr/accueil-3.html,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,True,False,,False,True
21-34425,Centre de Gestion FPT de Haute-Saône,None,,BARJOU Séverine,FRC23,27 avenue Aristide Briand,70000,Vesoul,,(+33) -03-84-97-02-42,,(+33) -03-84-97-02-41,barjou.severine@cdg70.fr,https://70.cdgplus.fr,https://cdg70.e-marchespublics.com,,,,,False,True,,False,True
21-35547,Mairie de Lexy,None, BUARD Stéphanie,,,2 bis rue de Longwy,54720,Lexy,,03-82-23-31-09,,03-82-23-55-84,stephanie.buard@mairielexy.fr,http://www.lexy.fr,http://www.e-marchespublics.com,,,,,False,False,,False,False
21-41766,,,,,,,,,,,,,,,,,,,,,,,,
21-32389,MRL,26420042900019,,,FRK25,11 Route de Chambles,42176,Saint Just Saint Rambert,,(+33) 4-77-36-31-01,,(+33) 4-77-36-31-01,mrl@mrl-42.fr,http://www.agysoft.marches-publics.info,http://www.agysoft.marches-publics.info,,,,,False,True,,False,True
21-17714,VILLE DU FRANÇOIS,None, Mr Le Maire,,,Place Charles De GaulleBP 33,97240,Le François,,(+33) 5-96-54-30-02,,(+33) 5-96-54-14-77,djacques@ville-francois.fr,http://www.ville-francois.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
21-986,Ville de Montauban,None,"Mme BAREGES Brigitte, MAIRE",,,9 rue de l'hôtel de ville BP 764,82013,MONTAUBAN CEDEX,,05-63-22-12-87,,,marchespublics@ville-montauban.fr,http://www.montauban.com,http://www.montauban.com/,,,,,False,False,,False,False
21-1620,Mairie de Combs-la-Ville,None,,Mlle SOARES Sandrine,FR102,Esplanade Charles de Gaulle,77385,Combs-la-Ville cédex,,,,,sandrine.soares@mairie-combs-la-ville.fr,http://www.maximilien.fr,http://www.maximilien.fr,,,,,False,True,,False,True
21-11569,Mairie de St Lyphard,21440175400012,,,FR,1 rue de Kerio,44410,SAINT-LYPHARD,,(+33) 2-40-91-41-08,,(+33) 2-40-91-36-81,ville@mairie-saint-lyphard.fr,https://demat.centraledesmarches.com/7046697,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com/7054382,https://demat.centraledesmarches.com/7054382,,,False,True,,False,True
21-2191,Commune de Leffrinckoucke,21590340200018,,,FRE11,330 rue Roger Salengro,59945,Leffrinckoucke,,(+33) 3-28-51-41-90,,,commande-publique@ville-leffrinckoucke.fr,http://www.ville-leffrinckoucke.fr,http://www.marches-securises.fr,,,,,False,True,,False,True
21-15606,Cté d'agglomération du Boulonnais,None,,,FRE12,1 boulevard du Bassin Napoléon - BP 755,62321,Boulogne sur mer Cedex,,(+33) -21-10-36-36,,,egobert@agglo-boulonnais.fr,http://www.agglo-boulonnais.fr,http://agglo-boulonnais.e-marchespublics.com,,,,,False,True,,False,True
21-14411,COMMUNE DE LA GRAND'CROIX,21420103000019,,,FRK25,2 rue Jean Jaurès,42320,La Grand'Croix,,(+33) 4-77-73-22-43,,(+33) 4-77-73-41-20,mairie-de-grand-croix@wanadoo.fr,http://www.lagrandcroix.fr,http://www.lagrandcroix.fr/marches-en-cours.html,,,,,False,True,,False,True
21-21352,Préfecture région BFC,None,Paul HOUSSEMENT,,,53 rue de la préfecture,21041,Dijon Cedex,,,,,,,,,,,,False,False,,False,False
21-9666,CHU DE LILLE,None,"Mme BEAUCIER Michèle, CHU de LILLLE",,,CS 70001,59037,Lille cedex,,03-20-44-41-11,,,,http://www.chru-lille.fr,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
21-43338,,,,,,,,,,,,,,,,,,,,,,,,
20-128135,CROUS de Versailles,None,,,FR103,145 bis boulevard de la Reine,78000,Versailles,,,,,achat@crous-versailles.fr,http://www.crous-versailles.fr,https://www.achatpublic.com,,https://www.achatpublic.com,https://www.achatpublic.com,,False,True,,False,True
21-11093,Mairie de Wintzenheim,None,,,FRF12,"28, rue Clémenceau",68920,Wintzenheim,,(+33) 3-89-27-94-94,,,dgs@mairie-wintzenheim.fr,http://www.ville-wintzenheim.fr,https://alsacemarchespublics.eu,,,,,False,True,,False,True
21-16376,EPPDCSI,51958785100014,,,FR101,Avenue Franklin D. Roosevelt,75008,Paris,,,,,christine.kauffmann@universcience.fr,http://www.universcience.fr/fr/accueil,http://www.universcience.fr/fr/accueil,,,,,False,True,,False,True
21-16333,Ville de Sainte-Adresse,None, Coquin Valérie,,,1 rue Albert Dubosc,76310,Sainte Adresse,,02-35-54-05-07,,,secretariat-general@sainte-adresse.fr,http://www.ville-sainte-adresse.fr/,http://www.ville-sainte-adresse.fr/,,,,,False,False,,False,False
21-37320,Ville de Wasquehal,None, Mme le Maire de Wasquehal,,,1 rue Michelet,59290,WASQUEHAL,,03-20-65-72-18,,,commande.publique@ville-wasquehal.fr,http://www.ville-wasquehal.fr/,http://ville-wasquehal.e-marchespublics.com,,,,,False,False,,False,False
21-28104,Agence du Tourisme de la Corse,None,Mme La Présidente de l'Agence du Tourisme de la Corse,,,"17, boulevard du roi Jérôme",20181,Ajaccio cedex 1,,04-95-51-77-77,,04-95-51-14-40,mpublics@atc.corsica,http://www.corsica-pro.com,https://www.achatspublicscorse.com,,,,,False,False,,False,False
21-6610,Mairie de Plouguerneau,None,,Solenn Douguet,FR,12 rue du verger,29880,plouguerneau,,(+33) 2-98-04-71-06,,,sdouguet@plouguerneau.bzh,https://plouguerneau.bzh/,https://megalis.bretagne.bzh/,,,,,False,True,,False,True
21-1751,Régie des Transports Métropolitains,05980406200053,,,FRL0,80 boulevard du métro,13013,Marseille,,(+33) -04-91-10-52-25,,(+33) -04-91-10-52-59,marchespublics@rtm.fr,https://www.rtm.fr,https://www.achatpublic.com,,,,,False,True,,False,True
21-19752,SEML ENERGIES EN FINISTERE,None,Antoine Corolleur,,,9 Allée Sully,29000,Quimper,,,,,,https://www.sdef.fr/sem-energies-en-finistere/,https://marches.megalis.bretagne.bzh/?page=entreprise.AccueilEntreprise,,,,,False,False,,False,False
21-16082,Ehpad Residence du Parc saint germain,None, F. DESIMPEL,,,2 Rue Residence du Parc,51240,Saint Germain la Ville,,03-26-67-52-69,,,mrsaintgermainlaville@wanadoo.fr,,http://www.e-marchespublics.com,,,,,False,False,,False,False
20-159226,CH DE CORNOUAILLE,None,,,FRH02,14 avenue Yves Thepot,29107,Quimper cedex,,,,,sa.drm@ch-cornouaille.fr,http://www.ch-cornouaille.fr/,,,,,,False,True,,False,True
21-19736,SEMOCTOM,None,,,FRI12,"9, route d'Allégret",33670,SAINT LEON,,,,,services-administratifs@semoctom.com,http://www.semoctom.com,https://demat-ampa.fr,https://demat-ampa.fr,https://demat-ampa.fr,https://demat-ampa.fr,,False,True,,False,True
21-37435,RES LOGEMT FONCTIONN SOC ANONY HLM,None,,Madame Canovaggio,FR101,9 rue Sextius Michel,75739,Paris cedex 15,,(+33) 1-44-37-70-00,,,michele.canovaggio@rlf-residences.fr,https://www.residences-rlf.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-28621,MAIRIE DE BAYONNE,None,,Service marchés publics,FRI15,"Hôtel de ville, 1 av maréchal Leclerc",64100,Bayonne,,(+33) 5-59-46-61-63,,(+33) 5-59-59-30-91,marches@bayonne.fr,http://www.bayonne.fr,https://demat-ampa.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=33119&orgAcronyme=i0r64,,,,,True,False,,False,True
21-21976,COMMUNE DE OSNY,None,,,FR108,Hôtel de Ville - Château de Grouchy - 14 rue William Thornley - BP 90014,95520,Osny,,(+33) 1-34-25-42-45,,,s.volatier@ville-osny.fr,https://osny.fr,http://www.achatpublic.com,,http://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
21-3342,COMMUNAUTE DE COMMUNES SEVRE ET LOIRE,None,,,FRG01,1 place Charles de Gaulle,44330,Vallet,,(+33) 2-51-80-65-26,,,f.cadoret@cc-sevreloire.fr,http://www.cc-sevreloire.fr/,http://cc-sevreloire.e-marchespublics.com,,,,,False,True,,False,True
21-41975,,,,,,,,,,,,,,,,,,,,,,,,
21-24847,Clairsienne - Construction,None,,,FR,223 avenue Emile Counord,33081,Bordeaux Cedex,,(+33) 5-56-29-27-14,,,a.michel@clairsienne.fr,https://www.clairsienne.fr,http://marches-securises.fr,,,,,False,True,,False,True
21-3950,AGENCE REGIONALE DE SANTE GRAND EST,None,"Mme JOSTEN Maud, Acheteur public",,,3 Boulevard Joffre,54036,Nancy cedex,,03-83-39-30-30,,,ars-grandest-marches-publics@ars.sante.fr,https://www.grand-est.ars.sante.fr,https://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,,,,,False,False,,False,False
21-7538,Ville de Blagnac,21310069600011,,,FRJ23,1 Place des Arts,31700,Blagnac,,(+33) 5-61-71-72-00,,(+33) 5-61-71-72-73,contact@mairie-blagnac.fr,http://www.mairie-blagnac.fr,http://www.mairie-blagnac.fr/acces-aux-consultations-en-cours.html,,,,,False,True,,False,True
21-20168,UPPA,None,,M. Timothée Gayet,FRI15,DAC - avenue de l'université - BP 576,64012,Pau cedex,,(+33) 5-59-40-75-14,,(+33) 5-59-40-77-72,achats-publics@univ-pau.fr,http://www.univ-pau.fr,http://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=703807&orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=703807&orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=703807&orgAcronyme=f2h,False,True,,False,True
21-37768,DEPARTEMENT DE LA SAVOIE,22730001900014,,,FRK27,"Château des Ducs de Savoie, Cs 31802",73018,Chambery,,(+33) 4-79-96-73-73,,,correspondre@aws-france.com,http://www.savoie.fr,http://www.savoie.fr/marches-publics,,,,,False,True,,False,True
21-40069,CA DU PAYS BASQUE,None," Jean-René ETCHEGARAY, Président",,,"15 avenue Maréchal Foch, CS88507",64185,BAYONNE CEDEX,,05-59-44-72-72,,,correspondre@aws-france.com,https://www.communaute-paysbasque.fr/,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
20-159405,Communauté de Communes du Thouarsais,None,,,FR,4 rue de la Trémoïlle - CS 10160,79104,Thouars cedex,,(+33) 5-49-66-77-00,,(+33) 5-49-66-77-01,service-marches@thouars-communaute.fr,https://www.marches-securises.fr,https://www.marches-securises.fr,,,,,False,True,,False,True
20-158876,Ville de Saint-Nicolas,None,,,FRE12,9 place Jean Jaurès,62223,Saint-Nicolas,,(+33) -03-21-21-71-00,,,contact@ville-saintnicolas.fr,http://www.ville-saintnicolas.eu,http://ville-saintnicolas.e-marchespublics.com,,,,,False,True,,False,True
21-20870,CC DE LA HAUTE ARIEGE,None," NAUDY Alain, Président",,,13 RN 20,09250,LUZENAC,,05-61-64-68-00,,05-61-64-41-08,administration.generale@cc-hauteariege.fr,http://www.cc-hauteariege.fr/,http://cc-hauteariege.marches-publics.info/,,,,,False,False,,False,False
21-16431,ESAT,None,,,FR,4 RUE DE LA CARRIERE,57540,PETITE ROSSELLE,,(+33) 3-87-84-64-64,,,i.brunel@odas57.fr,http://www.klekoon.com,http://www.klekoon.com,,http://www.klekoon.com,,,False,True,,False,True
21-6836,SIVOM DU CANTON DE MONESTIES,24810009100052,,,FRJ27,3 route du Moulin de Flottes,81640,Monesties,,(+33) 5-63-80-10-95,,,accueilplaisance@gmail.com,http://www.ehpad-canton-monesties.fr/,http://mp.maires81.asso.fr,,,,,False,True,,False,True
21-1086,DEPARTEMENT DE LA GIRONDE,22330001300016,,,FRI12,"Esplanade Charles de Gaulle, Cs 71223",33074,Bordeaux,,(+33) 5-56-99-33-33,,,dgar-dasj-scp@gironde.fr,http://www.gironde.fr,http://www.marches-publics.gironde.fr/,,,,,False,True,,False,True
20-159018,METEO FRANCE,18006003002117,,"Mp.dap-smm@meteo.fr en mentionnant dans la partie "" objet "" du message : "" Consultation METEO-FRANCE2031F0131 - A l'attention de M.A. RAVILLON'",FR,73 avenue de Paris,94165,Saint-mandé cedex,,,,,mp.dap-smm@meteo.fr,http://www.meteofrance.com,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=623681&orgAcronyme=d4t,,,,,False,True,,False,True
21-28435,Roannais Agglomération,20003573100013,,,FRK25,63 rue Jean Jaurès,42311,Roanne,,(+33) 4-77-44-29-50,,(+33) 4-77-44-29-59,commandepublique@roannais-agglomeration.fr,http://www.roannais-agglomeration.fr,http://www.roannais-agglomeration.fr,,,,,False,True,,False,True
21-41199,,,,,,,,,,,,,,,,,,,,,,,,
21-5520,Synd Mixte Artois Valorisation,25620407400056,,,FRE12,"11, rue Volta",62217,Tilloy-les-mofflaines,,(+33) 3-21-16-00-01,,(+33) 3-21-24-14-56,marches-publics@smav62.fr,http://www.smav62.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_0Ir4VwQDop,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_0Ir4VwQDop,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_0Ir4VwQDop,https://www.achatpublic.com,False,True,,False,True
21-24459,CTRE INTERDEPARTEMENTAL GEST GDE COURO,28780054400010,,,FR103,"15, rue Boileau",78008,Versailles,,,,,assurances@cigversailles.fr,http://www.cigversailles.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_09gGUIOGdb,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,False,True,,False,True
21-6017,SDIS 91,28910099200030,,,FR104,1 rond-point de l'Espace BP 218,91007,Evry,,(+33) 1-78-05-46-00,,,marches-publics@sdis91.fr,http://www.sdis91.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-9037,Ville de Besse et Saint Anastaise,2020/15,,,FRK14,"2, place de la Mairie",63610,Besse et Saint-Anastaise,,(+33) 4-73-79-50-12,,,secretariat@mairiedebesse.fr,http://www.besse-superbesse.fr,http://besse-saintanastaise.centreofficielles.com,,,,,False,True,,False,True
21-24141,Commune de Saint-Georges d'Oléron,None,,Monsieur le Directeur Général des Services-M. Deniziot,FRI32,"262, rue de la République - Cs 20020",17190,SAINT GEORGES D'OLERON,,(+33) 5-46-76-51-02,,(+33) 5-46-76-77-77,t.deniziot@saintgeorgesoleron.fr,http://www.saintgeorgesdoleron.com,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
21-41160,,,,,,,,,,,,,,,,,,,,,,,,
